Disc Number;Track Number;Original Name;"Original Name Language (ie., ""es"", ""jp"") (optional)";International Name (optional);"Duration (""m:ss"")";ISRC (optional)
1;1;Il Dose;;;03:18;
1;2;Magna Dose;;;02:56;
1;3;Rhizosotope;;;03:18;
1;4;Kinetic Bombardment;;;02:43;
1;5;Magnetic Bombardment;;;02:33;
1;6;Creep Temple;;;02:12;
1;7;A Tragedy;;;02:09;
1;8;Time Loop;;;02:35;
1;9;Plus and Substract;;;02:18;
1;10;Birth of Timekeeper;;;00:30;
1;11;Lab of Madness;;;02:15;
1;12;wired.heavenserver;;;04:36;
1;13;Orphanim;;;02:07;
1;14;Underneath;;;05:05;
1;15;Samsara;;;07:04;
1;16;Maxim;;;03:05;
1;17;Voinos;;;02:22;
1;18;Circadian Rhythm;;;01:59;
1;19;Experimentation;;;03:12;
1;20;Contemplation;;;01:13;
1;21;Astronomosetter;;;03:43;
1;22;Izit;;;04:23;
1;23;Industrialization;;;03:45;
1;24;Intro Hall;;;01:47;
1;25;Mechiz;;;04:12;
1;26;Phase One;;;03:28;
1;27;Phase Two;;;03:47;
1;28;Phase Final;;;06:18;
1;29;Weapon Demo;;;01:50;
1;30;Collateral Dreams;;;02:16;
1;31;Metalbucket;;;02:13;
1;32;Desert Seas;;;02:41;
1;33;Factory;;;04:15;
1;34;Afiliator;;;03:36;
1;35;Liquidator;;;03:51;
1;36;Aeroplane;;;02:17;
1;37;Sinister;;;01:29;
1;38;wired.program;;;02:54;
1;39;Zart;;;04:12;
1;40;Eastria;;;02:57;
1;41;Dance of Alkaviri;;;05:45;
1;42;Affirmation;;;03:12;
1;43;Rain;;;02:03;
1;44;Physical Bombardment;;;02:43;
1;45;Nurture;;;03:05;